BuildingType,Buildings,Percentile_25th_EUI,Median_EUI,Percentile_75th_EUI,Median_EUI_WN,Average_Site_EUI,Average_Site_EUI_WN,Median_Source_EUI,Median_ES_Score,Average_ES_Score,Total_GFA,Median_GFA,Median_Year_Built,Average_GHGSF,MedianGHGSF
College/University,26,42.5,72.2,109.5,71.6,111.6,109.9,130.9,,,5221806,94257.5,1962.5,5.6,1
Distribution Center,39,12.5,19.7,32.3,20.7,27.7,27.3,47.5,57,56.8,2395026,41248,1969,0.4,0.2
High-Rise Multifamily,118,36.2,46.3,53.9,45.1,49.2,48,97.5,74,64.8,26320156,172214,1992,1.1,0.8
Hospital,11,181.1,195.2,216.4,185.4,195.9,192.4,374,72,66.2,8378858,401194,1973,6.7,7.3
Hotel,73,50.2,64.3,83.6,63.6,71.6,70.7,130.8,86,76.9,11489147,93920,1985,2.1,1.9
K-12 School,148,35.2,45.6,55.5,44.2,48.8,47,81.6,62,60,11786519,57173,1969,1.6,1.4
Laboratory,15,168.9,223.8,250.9,219.1,223.7,218.2,424.7,,,2377533,109550,1997,7.8,5.9
Large Office,184,36.3,44.2,56.9,42.8,51,50.6,108.9,85.5,80.6,62536601,229789,1992,0.7,0.3
Low-Rise Multifamily,971,25.7,30.3,36.6,29.1,37,35.3,78.9,83,75.9,39914645,30333,1979,0.6,0.1
Medical Office,41,60.4,74.5,103.1,72.7,86.6,85.4,203,63,58.4,4659165,55188,1984,1.5,0.5
Mid-Rise Multifamily,716,28.1,33.7,43,33.1,38.8,37.8,80,94,85.3,61429351,59383,2004.5,0.7,0.5
Mixed Use Property,140,38.1,67.9,117.2,64.5,90.4,86.4,143.5,79.5,72.1,17023814,55858,1980,1.8,0.7
Non-Refrigerated Warehouse,134,16.1,27.5,48.8,27,36.5,35.2,59,56,53.4,7944474,40414,1966,0.8,0.2
Other,226,40.6,69.8,113.1,67.8,96.4,94,149.3,71,65.1,19616976,40040,1969,2,1
Refrigerated Warehouse,13,31.8,52.6,130.3,51.4,85.7,85.3,118.5,36,38,1118196,27263,1955,0.8,0.3
Residence Hall/Dormitory,13,30.1,33.4,53.5,32.8,52.3,51.7,83.7,88,75.1,1026543,44086,1993,1.4,0.4
Restaurant,8,160.8,205.8,226,206.1,217.4,214.6,376.1,,,263525,32310,1939,4.9,3.4
Retail Store,65,24.7,41.7,73,41.1,52,50.4,98.2,80,72.6,4486823,34680,1965,0.8,0.4
Self-Storage Facility,35,7.6,11.8,17.8,11.3,15.1,14.4,23.9,,,2864217,80360,1987,0.3,0.1
Small- and Mid-Sized Office,280,31.6,45.5,63.5,44.5,51.3,50.5,114.7,73,66.6,13146211,39956.5,1963.5,0.7,0.2
Supermarket/Grocery Store,36,131.7,203.7,275.6,202.9,205.9,203.7,434.2,69,70,2056200,44955,1990,4.4,4
Worship Facility,55,28.4,40.7,50.6,37.4,40.6,37.9,60,50.5,51,1761258,26033,1951,1,0.2
