BuildingType,Buildings,Percentile_25th_EUI,Median_EUI,Percentile_75th_EUI,Median_EUI_WN,Average_Site_EUI,Average_Site_EUI_WN,Median_Source_EUI,Median_ES_Score,Average_ES_Score,Total_GFA,Median_GFA,Median_Year_Built,Average_GHGSF,MedianGHGSF
College/University,38,51.5,73.4,108.7,74.5,105.8,108,137.8,NA,NA,7217672,83523,1969.5,4.7,1.6
Distribution Center,48,14.7,24.5,31.7,25.5,31.3,31.9,47.6,60,57.8,3011032,44950,1967,0.5,0.4
High-Rise Multifamily,120,35.5,44.6,53.8,45.4,45.6,46.7,95.7,70,63.1,26129888,169782.5,1990,1.1,0.9
Hospital,10,173.2,191.8,227.4,192.5,207.1,207.9,361.4,65,59.5,8333776,499356.5,1978,7.4,7.3
Hotel,82,40.3,48.7,61.4,48.7,52.4,53,101.1,95,89.7,12268790,88546.5,1982.5,1.6,1.4
K-12 School,143,27.3,32.9,42.3,34.7,36.1,37.9,60.1,83,76.8,11413050,56228,1964,1.2,1
Laboratory,15,163.1,197.2,258.7,189.6,233.1,224.6,440.7,NA,NA,1315179,60375,1985,7.7,6.1
Large Office,170,34.8,43.2,52.8,43.4,49,49.5,108.5,86,81.6,58400736,225459,1989,0.6,0.4
Low-Rise Multifamily,1025,25.3,29.8,37,30.5,33.9,34.8,75.3,82,76.7,41541523,29970,1978,0.6,0.2
Medical Office,47,60.1,73.9,122,76.7,96.2,97.9,200.6,50.5,48,5276130,55188,1986,1.8,0.7
Mid-Rise Multifamily,695,27.7,33.1,41.5,33.6,36.8,37.6,77.9,93,84.2,57860559,58015,2002,0.8,0.6
Mixed Use Property,147,37.7,56.3,88.1,56.6,84.8,85.9,126.2,77,67.5,17036583,53464,1980,1.8,1.1
Non-Refrigerated Warehouse,146,16.6,29.2,44.4,29.1,33.9,35.2,58,56,52.7,8366568,40414,1965.5,0.9,0.7
Other,256,35.3,62.7,96.3,63.9,88.4,90.1,126.8,60,64.2,21211478,37558.5,1966,2.1,1.3
Refrigerated Warehouse,12,28.7,37.8,66.6,37.8,59.8,59.7,97.4,58,48.5,867298,25548.5,1955,0.7,0.3
Residence Hall/Dormitory,23,25.6,35.7,58.6,36.5,43.8,45.9,75.4,90,79.2,2056443,84240,1982,1.4,0.8
Restaurant,7,122.7,150.8,208.4,152.2,170.6,172,287,NA,NA,214717,31020,1923,5.4,4.2
Retail Store,69,27,43.2,61.2,44.9,48,49.3,91.2,81.5,72.6,4591620,36504,1966,1.1,0.7
Self-Storage Facility,40,8.8,11.8,21.8,11.8,18.1,18.7,27,NA,NA,2974743,64245,1962,0.5,0.2
Small- and Mid-Sized Office,301,31.1,42,60.3,42.5,50.2,51.1,105.2,76,68.5,13973267,39170,1963,0.8,0.4
Supermarket/Grocery Store,38,128,183.6,281.9,186.1,197.2,199.8,389.5,72,64,1956626,44955,1991.5,4.7,4.2
Worship Facility,66,20.7,29.8,40.3,33.7,32.5,34.3,48.3,58.5,56.6,2071064,25777,1951,1.3,1
